"วันที่"|"สัญชาติ"|"จำนวน"|"ค่าปรับ"
"2023-02-07"|"GBR"|"1"|"1000"
"2023-02-07"|"CHN"|"1"|"1000"
"2023-02-10"|"MMR"|"1"|"19500"
"2023-02-11"|"UKR"|"1"|"13500"
"2023-02-11"|"CHN"|"1"|"1500"
"2023-02-12"|"CHN"|"1"|"1000"
"2023-02-12"|"MMR"|"1"|"20000"
"2023-02-12"|"CHN"|"1"|"20000"
"2023-02-13"|"USA"|"1"|"1000"
"2023-02-13"|"NLD"|"1"|"1000"
"2023-02-13"|"BEL"|"1"|"1000"
"2023-02-14"|"NLD"|"1"|"1000"
"2023-02-14"|"GBR"|"1"|"2500"
"2023-02-14"|"GBR"|"1"|"2500"
"2023-02-14"|"CHN"|"1"|"2500"
"2023-02-14"|"GBR"|"1"|"20000"
"2023-01-12"|"SGP"|"1"|"20000"
"2023-01-12"|"BEL"|"1"|"20000"
"2023-02-15"|"KOR"|"1"|"1500"
"2023-02-17"|"FRA"|"2"|"5000"
"2023-02-20"|"CHN"|"1"|"4000"
"2023-02-21"|"CHN"|"1"|"1000"
"2023-02-22"|"USA"|"1"|"10500"
"2023-02-22"|"CHN"|"1"|"1000"
"2023-02-23"|"USA"|"1"|"2000"
"2023-02-23"|"SWE"|"1"|"2500"
"2023-02-24"|"USA"|"3"|"12500"
"2023-02-24"|"KOR"|"2"|"3000"
"2023-02-25"|"HKG"|"1"|"2500"
"2023-02-25"|"KOR"|"4"|"9000"
"2023-02-25"|"CHN"|"4"|"80000"
"2023-02-26"|"GBR"|"2"|"2000"
"2023-02-26"|"USA"|"2"|"21000"
"2023-02-26"|"CHN"|"4"|"20500"
"2023-02-27"|"CHE"|"1"|"3000"
"2023-02-27"|"CHN"|"1"|"20000"
"2023-02-28"|"CHN"|"2"|"19000"
"2023-02-28"|"AUS"|"1"|"20000"
"2023-02-28"|"ISR"|"1"|"1500"
"2023-02-28"|"USA"|"1"|"1500"
"2023-03-17"|"RUS"|"1"|"2000"
"2023-03-18"|"SGP"|"1"|"12500"
"2023-03-18"|"MAC"|"1"|"20000"
"2023-03-19"|"TWN"|"1"|"20000"
"2023-03-19"|"TWN"|"1"|"5500"
"2023-03-20"|"MMR"|"1"|"20000"
"2023-03-20"|"CHN"|"1"|"1500"
"2023-03-20"|"CHN"|"1"|"3000"
"2023-03-21"|"JPN"|"1"|"1500"
"2023-03-21"|"FRA"|"1"|"13500"
"2023-03-21"|"RUS"|"1"|"1000"
"2023-03-21"|"RUS"|"1"|"1000"
"2023-03-21"|"RUS"|"1"|"7500"
"2023-03-22"|"NOR"|"1"|"20000"
"2023-03-22"|"CHN"|"1"|"11500"
"2023-03-01"|"UGA"|"1"|"7500"
"2023-03-01"|"KOR"|"1"|"1500"
"2023-03-02"|"USA"|"1"|"20000"
"2023-03-02"|"CHN"|"1"|"5000"
"2023-03-02"|"AUS"|"1"|"3500"
"2023-03-02"|"VNM"|"1"|"1000"
"2023-03-02"|"VNM"|"1"|"1000"
"2023-03-02"|"VNM"|"1"|"1000"
"2023-03-02"|"CYP"|"1"|"2000"
"2023-03-02"|"DEU"|"1"|"1500"
"2023-03-02"|"UKR"|"1"|"12500"
"2023-03-03"|"CHN"|"1"|"20000"
"2023-03-03"|"CHN"|"1"|"20000"
"2023-03-03"|"TWN"|"1"|"4000"
"2023-03-03"|"USA"|"1"|"1000"
"2023-03-03"|"USA"|"1"|"1000"
"2023-03-03"|"BGR"|"1"|"3500"
"2023-03-04"|"USA"|"1"|"20000"
"2023-03-04"|"CHN"|"1"|"1000"
"2023-03-05"|"CZE"|"1"|"1000"
"2023-03-05"|"DEU"|"1"|"2000"
"2023-03-06"|"USA"|"1"|"1000"
"2023-03-06"|"GBR"|"1"|"3500"
"2023-03-07"|"USA"|"1"|"7500"
"2023-03-07"|"CHN"|"1"|"20000"
"2023-03-07"|"USA"|"1"|"10000"
"2023-03-07"|"USA"|"1"|"1000"
"2023-03-07"|"CAN"|"1"|"1000"
"2023-03-08"|"SWE"|"1"|"1000"
"2023-03-08"|"SWE"|"1"|"1000"
"2023-03-08"|"RUS"|"1"|"1000"
"2023-03-08"|"CHN"|"1"|"20000"
"2023-03-08"|"MYS"|"1"|"1500"
"2023-03-08"|"GBR"|"1"|"3500"
"2023-03-08"|"CHN"|"1"|"1000"
"2023-03-09"|"USA"|"1"|"1000"
"2023-03-09"|"GBR"|"1"|"1000"
"2023-03-09"|"ROU"|"1"|"9500"
"2023-03-10"|"KWT"|"1"|"1500"
"2023-03-11"|"CHN"|"1"|"5000"
"2023-03-11"|"NZL"|"1"|"1500"
"2023-03-11"|"NZL"|"1"|"1500"
"2023-03-12"|"KOR"|"1"|"3500"
"2023-03-12"|"FRA"|"1"|"20000"
"2023-03-13"|"IND"|"1"|"20000"
"2023-03-13"|"CHN"|"1"|"2000"
"2023-03-14"|"RUS"|"1"|"1000"
"2023-03-14"|"FRA"|"1"|"6500"
"2023-03-15"|"USA"|"1"|"6000"
"2023-03-15"|"TWN"|"1"|"2500"
"2023-03-15"|"CAN"|"2"|"2000"
"2023-03-15"|"USA"|"1"|"1500"
"2023-03-16"|"KOR"|"1"|"1000"
"2023-03-16"|"CAN"|"1"|"1000"
"2023-03-16"|"IND"|"1"|"20000"
"2023-03-16"|"CHN"|"1"|"20000"
"2023-03-16"|"DEU"|"1"|"2000"
"2023-03-16"|"SVN"|"1"|"1500"
"2023-03-25"|"CHN"|"2"|"25500"
"2023-03-25"|"AUS"|"1"|"2500"
"2023-03-24"|"TWN"|"1"|"8000"
"2023-03-24"|"ISR"|"1"|"7000"
"2023-03-24"|"KOR"|"1"|"2000"
"2023-03-24"|"SWE"|"1"|"6500"
"2023-03-23"|"CHN"|"1"|"6500"
"2023-03-23"|"MMR"|"1"|"3000"
"2023-03-23"|"JPN"|"2"|"9000"
"2023-03-26"|"CHN"|"1"|"3000"
"2023-03-26"|"NOR"|"1"|"1000"
"2023-03-27"|"CHN"|"1"|"2000"
"2023-03-28"|"HKG"|"1"|"1000"
"2023-03-28"|"CHN"|"1"|"4000"
"2023-03-28"|"CHN"|"1"|"20000"
"2023-03-28"|"USA"|"1"|"2500"
"2023-03-29"|"USA"|"1"|"1500"
"2023-03-29"|"GBR"|"1"|"1000"
"2023-03-30"|"AUS"|"1"|"1500"
"2023-03-30"|"USA"|"3"|"6000"
"2023-03-30"|"CHN"|"1"|"4000"
"2023-03-30"|"MYS"|"1"|"20000"
"2023-03-30"|"GBR"|"1"|"1500"
"2023-03-30"|"RUS"|"1"|"20000"
"2023-04-09"|"CHN"|"1"|"1000"
"2023-04-09"|"MMR"|"1"|"4000"
"2023-04-08"|"CHN"|"1"|"3500"
"2023-04-07"|"USA"|"1"|"1000"
"2023-04-07"|"MMR"|"1"|"14000"
"2023-04-07"|"JPN"|"1"|"20000"
"2023-04-05"|"GBR"|"1"|"1000"
"2023-04-05"|"DEU"|"1"|"20000"
"2023-04-04"|"FRA"|"1"|"20000"
"2023-04-01"|"CHN"|"1"|"20000"
"2023-04-01"|"USA"|"1"|"10000"
"2023-04-01"|"USA"|"1"|"1000"
"2023-04-01"|"CAN"|"1"|"1000"
"2023-04-02"|"TWN"|"1"|"20000"
"2023-04-02"|"CHN"|"1"|"20000"
"2023-01-22"|"BEL"|"1"|"20000"
"2023-02-16"|"USA"|"1"|"3500"
"2023-02-16"|"USA"|"1"|"3500"
"2023-02-16"|"GBR"|"1"|"12500"
"2023-03-03"|"CHN"|"1"|"4000"
"2023-04-10"|"CHN"|"1"|"20000"
"2023-04-11"|"CAN"|"1"|"1000"
"2023-04-11"|"USA"|"1"|"8000"
"2023-04-12"|"TWN"|"1"|"20000"
"2023-04-12"|"CAN"|"1"|"2500"
"2023-04-12"|"FIN"|"1"|"15000"
"2023-04-12"|"CHE"|"1"|"7000"
"2023-04-13"|"HKG"|"1"|"7000"
"2023-04-14"|"HKG"|"1"|"2000"
"2023-04-14"|"TWN"|"1"|"1000"
"2023-04-15"|"SGP"|"1"|"1500"
"2023-04-17"|"CHN"|"1"|"1000"
"2023-04-18"|"KAZ"|"1"|"1000"
"2023-04-18"|"GBR"|"1"|"1500"
"2023-04-18"|"CHN"|"1"|"13500"
"2023-04-18"|"POL"|"1"|"20000"
"2023-04-18"|"USA"|"1"|"4000"
"2023-04-19"|"CHN"|"2"|"2000"
"2023-04-19"|"ROU"|"2"|"3000"
"2023-04-19"|"USA"|"1"|"1000"
"2023-04-19"|"MMR"|"1"|"1500"
"2023-04-19"|"ISR"|"1"|"1000"
"2023-04-20"|"USA"|"1"|"3000"
"2023-04-20"|"CHN"|"1"|"4000"
"2023-04-20"|"MMR"|"1"|"2500"
"2023-04-22"|"GBR"|"2"|"20000"
"2023-04-22"|"CHN"|"1"|"1500"
"2023-04-21"|"CHN"|"6"|"22500"
"2023-04-21"|"USA"|"1"|"1000"
"2022-10-10"|"AUS"|"1"|"2500"
"2023-04-23"|"CHN"|"6"|"28500"
"2023-04-23"|"MMR"|"2"|"5500"
"2023-04-24"|"USA"|"1"|"2500"
"2023-04-24"|"AUS"|"1"|"2500"
"2023-04-24"|"DEU"|"1"|"1000"
"2023-04-24"|"CHN"|"2"|"2000"
"2023-04-27"|"USA"|"2"|"20500"
"2023-04-27"|"CHN"|"1"|"1000"
